full_text,sentimen
@sforite rkuhap disahkan? emang lawakan bulan ini kita liat gebrakan bulan depan *maafh lagi pengen asbun aja,negatif
[𝐑𝐊𝐔𝐇𝐀𝐏 𝐃𝐈𝐒𝐀𝐇𝐊𝐀𝐍 𝐏𝐄𝐑𝐓𝐀𝐍𝐃𝐀 𝐇𝐈𝐋𝐀𝐍𝐆𝐍𝐘𝐀 𝐊𝐄𝐀𝐃𝐈𝐋𝐀𝐍] perjalanan rkuhap sampai kini ingin disahkan menghadapi sangat banyak kejanggalan. https://t.co/oyeqvaeh3x,negatif
tiba-tiba kepikiran kalo adanya rkuhap yg disahkan ini bisa buat bahan skripsian anak 23,neutral
narasi di instagram cenderung bersifat edukatif menyampaikan informasi mengenai pengesahan rkuhap menjadi uu. selain itu muncul pula unggahan seruan aksi penolakan kuhap. lalu apa yang paling banyak ditonton di youtube? https://t.co/9nj4lbq1wk,neutral
di facebook unggahan yang paling disukai menyoroti mempertanyakan urgensi rkuhap menjelaskan poin-poin kewenangan baru polisi serta memuat seruan penolakan rkuhap dan informasi pengesahan oleh dpr. bagaimana dengan instagram? https://t.co/xkoy7obxmi,neutral
@ary_praske2 @puanmaharani_ri @anak__ogi @antoniuscdn @cakkhum @ch_chotimah2 @firzahusain @gm_warrios @humorjontampan @urrangawak @ngkongroses @03__nakula ada benang merahnya kejadian boom di smp 72 selang hari berikut disahkan rkuhap,neutral
akibat pengesahan uu rkuhap ini,neutral
sumeru erupted after rkuhap disahkan tuh kek sign,neutral
pengesahan rkuhap ini penting guna memperkuat hukum nasional #kuhp #kuhap #pemerintahpeduli #viral #fyp https://t.co/t0srp4we6i,positif
wakil ketua mpr ri sekaligus ketua fraksi partai demokrat dpr ri edhie baskoro yudhoyono (ibas) menghadiri rapat paripurna dpr ri dalam agenda pengesahan rancangan undang-undang tentang hukum acara pidana (rkuhap) menjadi undang-undang (uu). selengkapnya di: https://t.co/75l38uye85,neutral
guys! please pray for our nation ️ rkuhap yang disahkan tiba-tiba. terus sekarang semeru erupsi. please keep indonesia in your pray.,negatif
tiap ada gebrakan pemerintah isu ijazah jokowi nih selalu dimainin anjir. ini kemarin abis pengesahan rkuhap langsung ada gebrakan krs dan laporan kkn jokowi gaada. yang bener aja.,negatif
@tanyarlfes happy birthday yaa sender!! kita ulang tahun beda sehari doang aku kemaren ke 22 tp aku sedih di ultah aku itu barengan sm disahkan nya rkuhap anj btw nder smoga kamu sehat &amp; bahagia selalu dilancarkan rezekinya biar bisa pindah warga kenegaraan aamiinnn,negatif
akibat rkuhap disahkan,neutral
ruu kuhap resmi disahkan jadi uu puan harap masyarakat tidak terpapar hoaks substansi rapat paripurna dpr ri resmi mengesahkan rancangan kitab undang-undang hukum acara pidana (rkuhap) menjadi undang-undang pada selasa (18/11/2025). keputusan tersebut diambil dalam rapat https://t.co/36txhhipah,neutral
@giiselje ya gimna ga mangkrak.. yg di bahas ijazah palsu mbg keracunan kreta cepat korupsi pengesahan rkuhap tanpa rakyat tau. bahan bakar oplosan korupsi triliunan. gini terus aja indonesia smpe nanti benar benar di jajah negara asing.,negatif
rkuhap resmi disahkan menjadi uu oleh dpr usai menjalani sejumlah pembahasan di komisi iii dpr. artinya uu nomor 8 tahun 1981 yang telah berlaku sekitar 44 tahun diganti. . . . . tasyakuran rabu gunung semeru sabang sore satu langkah ami awards #batalkanrkuhap https://t.co/8z5whch9xv,negatif
@my_earthhh kemarin banyak bangettt isu2 yg lolos sekarang rkuhap disahkan tapiiii masih aja sibuk ngolok2 orang. kalau dulu gosip seleb selingkuh buat memecah fokus tapi sekarang ganti jadi kipop yg lebih gacor terbukti kemarin isu rm lebih rame dibandingkan dgn............,neutral
@barengwarga apakah ijazah palsu itu termasuk pengalihan isu utk pengesahan rkuhap?,neutral
terlepas dari pembahasan qiyas tadi mungkin sebagian contoh dogmatis irasional seperti yang sekarang ramai diperbincangkan yaitu tentang pengesahan rkuhap padahal didalamnya menuai kontra dan tentunya merugikan masyarakat karena bisa jadi yang menyalahgunakan powernya.,negatif
jangan percaya hoaks! dpr bantah isu keliru pasal-pasal rkuhap yang baru disahkan. https://t.co/kdfpzcagip,positif
@tukangpermaks @barengwarga beberapa pasal kontroversial di rkuhap yang disahkan termasuk pasal 105 112 124 dan 132a yang memungkinkan penggeledahan serta penyadapan dengan pengawasan hakim terbatas berpotensi melemahkan privasi warga. pasal 136 izinkan penyidik sadap langsung untuk penyidikan ,negatif
@gelsonwlsn biar rkuhap dicabut pengesahan nya,negatif
kuhap baru resmi disahkan: warga lebih dilindungi proses hukum lebih transparan rkuhap akhirnya disahkan setelah lebih dari satu tahun pembahasan. ketua komisi iii dpr ri habiburokhman menyebut regulasi baru ini memberi posisi lebih kuat bagi warga negara dalam proses hukum. https://t.co/cctqmaiwbu,neutral
@blueayaxx1003 @tempodotco rkuhap baru yang baru disahkan dpr berisi 14 substansi perubahan utama untuk menyesuaikan hukum acara pidana dengan kuhp baru perkembangan nasional-internasional dan penguatan hak tersangka serta due process of law. beberapa poin kunci meliputi perbaikan upaya paksa pengenalan,neutral
@chocoandsky @stray_kids @xh_official upsss? siapa tuxxhh hati hati zie rkuhap udh disahkan‍️‍️,negatif
rkuhap resmi disahkan jadi undang-undang menkum: lebih adil terhadap warga negara https://t.co/endsiflqco,neutral
pengesahan rkuhap pasti sudah dipertimbangkan baik-baik. jangan percaya hoax tentang kuhap cek dulu kebenarannya. lawan disinformasi dan hoax https://t.co/ctfstk5okj,positif
lihat lagi! dpr hotman paris dan deret pengacara bahas rkuhap sebelum disahkan - arsip kompastv https://t.co/v7zgurtl16,neutral
ketua kpk buka suara soal pengesahan rkuhap jadi uu https://t.co/upebu94jiv,neutral
my tl rn keonho video rkuhap disahkan cortis content another omongan bodoh hanuriz content rkuhap liyu debut zara wallahi cape jadi wni,negatif
kpk cermati pengesahan rkuhap jadi uu dan putusan mk pastikan kewenangan antikorupsi tetap kuat https://t.co/bqet9jz76n,neutral
inatiny kita boleh sedih karena war iyf menyebalkan bgt dan semangat ya masih ada besok lagi. tapi yuk pls inget kita juga lagi berjuang karena rkuhap udah disahkan oleh dpr #tolakrkuhap #semuabisakena #semuabisajadikorban,negatif
dpr resmi mengesahkan rkuhap menjadi undang-undang dan aturan ini juga telah mendapat persetujuan dari presiden prabowo. setelah pengesahan ini ylbhi merilis peringatan darurat karena menilai ada sejumlah pasal yang berpotensi berdampak besar pada masyarakat. https://t.co/pgrv0ysnrx,neutral
pengesahan rkuhap: saat potongan pasal menggantikan pemahaman publik https://t.co/hziox1ikig,neutral
berita selengkapnya pada tautan : https://t.co/gso0a6pgm5 asep sutandar kemenkum jabar sosial media lainnya : instagram: https://t.co/mjtcjwrfb7 youtube: https://t.co/ll3k5msqju facebook: https://t.co/oqcpgkuk2m x: https://t.co/zmbqaveeki,neutral
